data;id;command
2022-11-14;384993580;command
2022-11-14;384993580;command a
2022-11-14;384993580;command a
2022-11-14;384993580;command b
2022-11-14;384993580;command c
2022-11-14;384993580;command d
2022-11-14;384993580;command
2022-11-14;384993580;лчдва
2022-11-14;384993580;да
2022-11-14;384993580;лаваш
2022-11-14;384993580;чьлв
2022-11-14;384993580;лчлялв
2022-11-14;384993580;лол
2022-11-14;384993580;статистика
2022-11-14;384993580;лада
2022-11-14;384993580;
2022-11-14;384993580;овоща
